SampleID,sample_name,nearest_ci,dist_m,onekm_rad_ci,fivekm_rad_ci,lat,lon,date,location,modis_ci_image_name,onekm_less50cloudCover,fivekm_less50cloudCover
samp_707,LRAUV18_SC03,122,397.27355524360127,122,60.220338983050844,41.6674,-83.1071,9/2/18,MODIS_processed_tiff/2018/image/,terra.2018245.0902.1602_1605_1740C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_713,LRAUV18_SC04,122,397.27355524360127,122,60.220338983050844,41.6674,-83.1071,9/2/18,MODIS_processed_tiff/2018/image/,terra.2018245.0902.1602_1605_1740C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_719,LRAUV18_SC05,1,473.69077452755636,1,29.873015873015873,41.7034,-83.0708,9/2/18,MODIS_processed_tiff/2018/image/,terra.2018245.0902.1602_1605_1740C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_725,LRAUV18_SC06,1,473.69077452755636,1,29.873015873015873,41.7034,-83.0708,9/2/18,MODIS_processed_tiff/2018/image/,terra.2018245.0902.1602_1605_1740C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_731,LRAUV18_SC07,1,473.69077452755636,1,29.873015873015873,41.7034,-83.0708,9/2/18,MODIS_processed_tiff/2018/image/,terra.2018245.0902.1602_1605_1740C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_737,LRAUV18_SC08,1,36840.157854416204,NA,NA,41.7553,-83.1254,9/1/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018244.0901.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_743,LRAUV18_SC09,1,37244.77382147244,NA,NA,41.7562,-83.1302,9/1/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018244.0901.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_749,LRAUV18_SC10,1,37675.17294427268,NA,NA,41.7572,-83.1353,9/1/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018244.0901.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_755,LRAUV18_SC11,1,39677.370592416715,NA,NA,41.7863,-83.1583,9/1/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018244.0901.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_761,LRAUV18_SC12,1,39996.76098693251,NA,NA,41.7871,-83.1626,9/1/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018244.0901.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_767,LRAUV18_SC13,1,40351.10432361269,NA,NA,41.7881,-83.1674,9/1/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018244.0901.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_773,LRAUV18_SC14,16,542.3555765608688,16,22.822580645161292,41.8468,-83.2627,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_779,LRAUV18_SC15,16,230.59994018092632,16,25.439393939393938,41.8476,-83.2668,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_785,LRAUV18_SC16,16,141.2385458136135,16,24.970149253731343,41.8462,-83.268,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_791,LRAUV18_SC17,1,599.5202912042923,1,2.703125,41.8505,-83.1949,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_797,LRAUV18_SC18,1,25.656265341386625,1,13.884057971014492,41.8466,-83.243,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_803,LRAUV18_SC19,1,29.35442431819968,1,13.884057971014492,41.8466,-83.2431,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_809,LRAUV18_SC21,1,25.656265341386625,1,13.884057971014492,41.8466,-83.243,8/31/18,MODIS_processed_tiff/2018/image/,aqua.2018243.0831.1756_1935C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_815,LRAUV18_SC22,101,511.75521042102275,97.5,65.5,41.8326,-83.3354,8/30/18,MODIS_processed_tiff/2018/image/,aqua.2018242.0830.1713_1715_1851C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_823,LRAUV18_SC24,90,214.19279117506636,93.5,68.91071428571429,41.8356,-83.3504,8/30/18,MODIS_processed_tiff/2018/image/,aqua.2018242.0830.1713_1715_1851C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,TRUE,TRUE
samp_829,LRAUV18_SC25,1,471.8419067406634,1,1,41.7715,-83.3311,8/29/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018241.0829.1516_1519C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_837,LRAUV18_SC27,1,961.3639566597409,1,1,41.7742,-83.3452,8/29/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018241.0829.1516_1519C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,FALSE,FALSE
samp_843,LRAUV18_SC28,1,48.04850499308298,1,1,41.8132,-83.2631,8/29/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018241.0829.1516_1519C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,TRUE,TRUE
samp_849,LRAUV18_SC30,1,39.976923008995335,1,1,41.8133,-83.2632,8/29/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018241.0829.1516_1519C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,TRUE,TRUE
samp_855,LRAUV18_SC31,1,153.61506178305797,1,1,41.846,-83.1724,8/29/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018241.0829.1516_1519C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,TRUE,FALSE
samp_861,LRAUV18_SC33,1,141.37039365707696,1,1,41.8497,-83.1904,8/29/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018241.0829.1516_1519C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,TRUE,FALSE
samp_873,LRAUV18_SC36,89,195.21459573398027,86.34375,83.01496259351622,41.8376,-83.3522,8/27/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018239.0827.1608C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,TRUE,TRUE
samp_879,LRAUV18_SC38,89,209.0176331234996,86.34375,83.01496259351622,41.8375,-83.3523,8/27/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018239.0827.1608C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,TRUE,TRUE
samp_885,LRAUV18_SC39,1,11984.59534832397,NA,NA,41.8021,-83.363,8/26/18,MODIS_processed_tiff/2018/image/,aqua.2018238.0826.1738_1740_1916C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,FALSE,FALSE
samp_891,LRAUV18_SC41,1,12509.914112460641,NA,NA,41.8043,-83.3744,8/26/18,MODIS_processed_tiff/2018/image/,aqua.2018238.0826.1738_1740_1916C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,FALSE,FALSE
samp_897,LRAUV18_SC42,1,7392.3401741504385,NA,NA,41.7643,-83.3099,8/26/18,MODIS_processed_tiff/2018/image/,aqua.2018238.0826.1738_1740_1916C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,FALSE,FALSE
samp_903,LRAUV18_SC44,1,7533.639050974943,NA,NA,41.7663,-83.3218,8/26/18,MODIS_processed_tiff/2018/image/,aqua.2018238.0826.1738_1740_1916C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,FALSE,FALSE
samp_909,LRAUV18_SC45,1,7578.481470804211,NA,NA,41.7667,-83.324700000000007,8/26/18,MODIS_processed_tiff/2018/image/,aqua.2018238.0826.1738_1740_1916C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,FALSE,FALSE
samp_912,LRAUV18_SC47,1,2985.788017622735,NA,1,41.7138,-83.2711,8/26/18,MODIS_processed_tiff/2018/image/,aqua.2018238.0826.1738_1740_1916C.L3.GL1.v930044d4967_1_1.CI_merge_Kdcorr-E.tif,FALSE,FALSE
samp_918,LRAUV18_SC48,1,3636.810916041697,NA,1,41.7935,-83.2375,8/24/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018236.0824.1546C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E-B.tif,FALSE,FALSE
samp_924,LRAUV18_SC50,1,1645.5235362332244,NA,1,41.8249,-83.2118,8/24/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018236.0824.1546C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E-B.tif,FALSE,FALSE
samp_930,LRAUV18_SC51,1,2448.617262023918,NA,1,41.9123,-83.2017,8/24/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018236.0824.1546C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E-B.tif,FALSE,FALSE
samp_936,LRAUV18_SC53,1,2464.228069340355,NA,1,41.9123,-83.201,8/24/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018236.0824.1546C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E-B.tif,FALSE,FALSE
samp_941,LRAUV18_SC54,1,190.92757438589135,1,1.1270022883295194,41.9108,-83.2103,8/23/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018235.0823.1612C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E-B.tif,TRUE,TRUE
samp_947,LRAUV18_SC56,1,173.51461660227295,1,1.4485549132947977,41.9053,-83.2245,8/23/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018235.0823.1612C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E-B.tif,TRUE,TRUE
samp_1298,LRAUV19_SC13,175,101.1083681705797,172.62857142857143,172.36506024096386,41.7039,-83.2556,8/25/19,MODIS_processed_tiff/2019/image/,sentinel-3a.2019237.0825.1557C.L3.LE3.v930seadasv7521_1_2.CI-E.tif,TRUE,TRUE
samp_1300,LRAUV19_SC15,171,77.19892344333799,172.38235294117646,175.5290023201856,41.7369,-83.3008,8/25/19,MODIS_processed_tiff/2019/image/,sentinel-3a.2019237.0825.1557C.L3.LE3.v930seadasv7521_1_2.CI-E.tif,TRUE,TRUE
samp_1302,LRAUV19_SC17,175,129.4648253436665,173.75,175.52386495925495,41.7357,-83.2999,8/25/19,MODIS_processed_tiff/2019/image/,sentinel-3a.2019237.0825.1557C.L3.LE3.v930seadasv7521_1_2.CI-E.tif,TRUE,TRUE
samp_1304,LRAUV19_SC19,72,534.8361858718025,36,51.596774193548384,41.7427,-83.1369,8/24/19,MODIS_processed_tiff/2019/image/,terra.2019236.0824.1536_1714_1715C.L3.GL1.v930seadasv7521_1_2.CI_merge-E.tif,TRUE,TRUE
samp_1307,LRAUV19_SC21,139,475.0959193254509,145,146.390625,41.7349,-83.3002,8/24/19,MODIS_processed_tiff/2019/image/,terra.2019236.0824.1536_1714_1715C.L3.GL1.v930seadasv7521_1_2.CI_merge-E.tif,TRUE,TRUE
samp_1309,LRAUV19_SC23,139,546.9516996508241,145,147.76923076923077,41.7345,-83.3009,8/24/19,MODIS_processed_tiff/2019/image/,terra.2019236.0824.1536_1714_1715C.L3.GL1.v930seadasv7521_1_2.CI_merge-E.tif,TRUE,TRUE
